MODEL,SITE,Metric,ref_mean
AD_Map,ADNI,mAUC,0.487012987012987
AD_Map,ADNI,mmseMAE,1.0764688285688557
AD_Map,ADNI,ventsMAE,0.0015644795694795318
L2C_FNN,ADNI,mAUC,0.42343073593073594
L2C_FNN,ADNI,mmseMAE,1.3666666666666665
L2C_FNN,ADNI,ventsMAE,0.01397499025344121
L2C_XGBnw,ADNI,mAUC,0.7359307359307359
L2C_XGBnw,ADNI,mmseMAE,2.8053560256958003
L2C_XGBnw,ADNI,ventsMAE,0.04998658045774974
L2C_XGBw,ADNI,mAUC,0.7924783549783548
L2C_XGBw,ADNI,mmseMAE,2.910372066497803
L2C_XGBw,ADNI,ventsMAE,0.0491524586543071
MinimalRNN,ADNI,mAUC,0.4707792207792208
MinimalRNN,ADNI,mmseMAE,1.927429519422951
MinimalRNN,ADNI,ventsMAE,0.01174627606487583
