MODEL,SITE,Metric,ref_mean,ref_std
AD_Map,ADNI,mAUC,0.8465906202353215,0.026793717351367194
AD_Map,ADNI,mmseMAE,1.9756277685672194,0.1707294078278214
AD_Map,ADNI,ventsMAE,0.0019925226378483185,0.00027848660875528873
AD_Map,AIBL,mAUC,0.8386028365842547,0.004021174273101969
AD_Map,AIBL,mmseMAE,1.3790897303471055,0.007964947796999735
AD_Map,AIBL,ventsMAE,0.002191707444001256,5.617525713713243e-05
AD_Map,MACC,mAUC,0.8344034953728517,0.005723623491992206
AD_Map,MACC,mmseMAE,2.4893095921302613,0.02168231077027614
AD_Map,MACC,ventsMAE,0.002771743071243188,6.36632698314954e-05
AD_Map,OASIS,mAUC,0.7426192487985871,0.003634295095582829
AD_Map,OASIS,mmseMAE,1.56906815060456,0.017410599598235415
AD_Map,OASIS,ventsMAE,0.003886620795342564,4.523682021759509e-05
L2C_FNN,ADNI,mAUC,0.9452762013460948,0.01668372834916745
L2C_FNN,ADNI,mmseMAE,1.821597302022251,0.20051807499302182
L2C_FNN,ADNI,ventsMAE,0.0018230231484269149,0.0002525703865216595
L2C_FNN,AIBL,mAUC,0.9120993120975367,0.0033499401694769356
L2C_FNN,AIBL,mmseMAE,1.3115018541160492,0.02569532716693194
L2C_FNN,AIBL,ventsMAE,0.0020855800421942135,9.078539932434747e-05
L2C_FNN,MACC,mAUC,0.9579900635951001,0.0027370593898815576
L2C_FNN,MACC,mmseMAE,2.6666045212994884,0.10799335063994754
L2C_FNN,MACC,ventsMAE,0.002560170495523633,0.00017915605589084155
L2C_FNN,OASIS,mAUC,0.7941256388233496,0.0035022780009382613
L2C_FNN,OASIS,mmseMAE,1.5200529587601734,0.012207372127246824
L2C_FNN,OASIS,ventsMAE,0.004116401889157266,4.6175671103436004e-05
L2C_XGBnw,ADNI,mAUC,0.9455143823826383,0.018158713191999392
L2C_XGBnw,ADNI,mmseMAE,1.8662822542957678,0.2053447549265925
L2C_XGBnw,ADNI,ventsMAE,0.0017487849290082833,0.0002323613113716757
L2C_XGBnw,AIBL,mAUC,0.9010459373348473,0.0065603946589556095
L2C_XGBnw,AIBL,mmseMAE,1.727833378013489,0.46260646604364036
L2C_XGBnw,AIBL,ventsMAE,0.002075759473401416,6.1012857222021405e-05
L2C_XGBnw,MACC,mAUC,0.9605043707109526,0.0037885888952743627
L2C_XGBnw,MACC,mmseMAE,2.9656040016186145,0.18070526487758112
L2C_XGBnw,MACC,ventsMAE,0.003063347834090951,0.00033612264846089105
L2C_XGBnw,OASIS,mAUC,0.7497953631336689,0.010472269153287448
L2C_XGBnw,OASIS,mmseMAE,1.7271810597425143,0.07765886438384487
L2C_XGBnw,OASIS,ventsMAE,0.004028532595186512,0.00015342485988619923
L2C_XGBw,ADNI,mAUC,0.9435855106818147,0.017198891719186093
L2C_XGBw,ADNI,mmseMAE,1.902044388170968,0.1715749216997076
L2C_XGBw,ADNI,ventsMAE,0.0018131759517158528,0.00028212217982532335
L2C_XGBw,AIBL,mAUC,0.8919162984803888,0.011103221118731093
L2C_XGBw,AIBL,mmseMAE,1.578978651623623,0.12665930187586721
L2C_XGBw,AIBL,ventsMAE,0.0024050578263239268,0.000504473216936601
L2C_XGBw,MACC,mAUC,0.9605038173583129,0.003119817093926238
L2C_XGBw,MACC,mmseMAE,2.90780674886426,0.06966492103222002
L2C_XGBw,MACC,ventsMAE,0.0040333936508287135,0.0007228667937306802
L2C_XGBw,OASIS,mAUC,0.7055611116170952,0.012507111190853147
L2C_XGBw,OASIS,mmseMAE,1.7850024816558858,0.03700004376773883
L2C_XGBw,OASIS,ventsMAE,0.0046658557966126725,0.00013640356147516877
MinimalRNN,ADNI,mAUC,0.9170321689542966,0.01942230852658096
MinimalRNN,ADNI,mmseMAE,1.8781163903251852,0.2160569991341466
MinimalRNN,ADNI,ventsMAE,0.0018798794793031045,0.0002634539017863102
MinimalRNN,AIBL,mAUC,0.8827033326873546,0.012443820998962312
MinimalRNN,AIBL,mmseMAE,1.4099703051081744,0.07491322492654846
MinimalRNN,AIBL,ventsMAE,0.0023411550459738343,0.0002978100452522899
MinimalRNN,MACC,mAUC,0.8885656350303937,0.024068381508242614
MinimalRNN,MACC,mmseMAE,3.036948699196884,0.25554770742973226
MinimalRNN,MACC,ventsMAE,0.0034737702180060726,0.0006929736157963122
MinimalRNN,OASIS,mAUC,0.7400647187020425,0.027105376003759465
MinimalRNN,OASIS,mmseMAE,1.6675377180172564,0.10707519023584092
MinimalRNN,OASIS,ventsMAE,0.005687694887680224,0.0006315239783837964
